"S1","S2","S3","EC"
0.918466,-0.336262,0.208203,78058.425
0.918394,-0.335811,0.209246,77649.375
0.918901,-0.334204,0.209592,77685.8
0.919505,-0.332961,0.208921,77865.525
0.919628,-0.332681,0.208824,77881.75
0.918758,-0.334594,0.209597,77464.15
0.919668,-0.332637,0.208718,77638.525
0.919699,-0.332014,0.209571,77499.7
0.920112,-0.33124,0.208982,78087.65
0.92044,-0.329877,0.209691,77388.45
0.92098,-0.328846,0.208939,77659.85
0.921335,-0.328277,0.208269,77852.075
0.921373,-0.327792,0.208864,78078.1
0.921727,-0.327283,0.208098,77533.375
0.921596,-0.327039,0.209059,77696.45
0.921198,-0.328455,0.208593,77674.05
0.921254,-0.328248,0.208674,78199.225
0.920817,-0.328727,0.209844,77433.2
0.920512,-0.329448,0.210052,77647.1
0.920426,-0.330279,0.20912,77525.25
0.920491,-0.330211,0.208943,77697.2
0.920404,-0.331041,0.20801,77507
0.920315,-0.331872,0.207076,77726.4
0.920283,-0.331496,0.20782,77751.875
0.920283,-0.331496,0.20782,78035.975
0.920291,-0.331635,0.207562,77572.175
0.92034,-0.331846,0.207008,77734.175
0.921256,-0.330166,0.205615,77706.85
0.921312,-0.329959,0.205697,77838.7
0.921446,-0.330338,0.204485,77831.125
0.921373,-0.330884,0.203929,77723.375
0.920595,-0.33256,0.204717,77703.975
0.920969,-0.332291,0.203465,78165.175
0.92052,-0.333107,0.204162,77330.575
0.920175,-0.333748,0.204671,77534.175
0.919646,-0.335432,0.204295,77800.6
0.919131,-0.336895,0.204204,77687.075
0.919252,-0.335921,0.205262,77445.25
0.919812,-0.334611,0.204894,77650.15
0.919459,-0.335285,0.205375,77900.125
0.918504,-0.337023,0.2068,78022.4
0.918463,-0.336952,0.207096,77782.825
0.918481,-0.336671,0.207474,77496.6
0.918066,-0.337382,0.208154,77660.1
0.918031,-0.338,0.207304,77500.65
0.918031,-0.338,0.207304,77978.7
0.918445,-0.337233,0.206719,77557.4
