"S1","S2","S3","EC"
0.852691,-0.493057,0.172666,97323.9
0.852493,-0.493365,0.172765,96854.9
0.852544,-0.493394,0.172427,96780.95
0.851976,-0.49459,0.171807,96990.425
0.85191,-0.49478,0.171588,97185.975
0.852338,-0.494129,0.17134,96803.6
0.85217,-0.49473,0.170434,96960.55
0.852212,-0.495199,0.168857,96419.175
0.852125,-0.495243,0.169166,97531.7
0.851316,-0.496797,0.168682,97040.025
0.850636,-0.498225,0.167902,96376.925
0.85049,-0.498864,0.166736,96498.15
0.850493,-0.499597,0.164514,97020.75
0.850289,-0.499506,0.165837,96686.025
0.850289,-0.499506,0.165837,96504.3
0.849905,-0.50006,0.166139,96510.75
0.849276,-0.501292,0.165637,97392.3
0.848858,-0.502292,0.16475,96836.125
0.8487,-0.502507,0.164908,96153.275
0.848453,-0.503143,0.164242,96588.75
0.847931,-0.503825,0.164844,97192.425
0.847817,-0.503697,0.165818,96904.675
0.847494,-0.504257,0.165766,96440.6
0.846979,-0.505152,0.165672,96357.225
0.84621,-0.506426,0.165714,97096.025
0.845703,-0.507082,0.166294,97178.15
0.845753,-0.507201,0.165677,96610.05
0.844886,-0.508324,0.166656,96569.55
0.844295,-0.509486,0.166103,96857.55
0.842906,-0.511901,0.165732,97481.75
0.842679,-0.512655,0.164552,97006.45
0.841597,-0.51442,0.164584,96295.275
0.841223,-0.514956,0.164817,96910.025
0.840692,-0.515893,0.164595,97263.95
0.839799,-0.516986,0.16572,96680.2
0.839198,-0.518077,0.165353,96838.125
0.838727,-0.519298,0.16391,97012.725
0.838229,-0.519924,0.16447,97180.45
0.838006,-0.520477,0.163857,97129.65
0.837508,-0.521103,0.164417,96184.275
0.837674,-0.520861,0.164334,96849.8
0.837517,-0.521356,0.163563,97188.525
0.836839,-0.522469,0.163484,96696.875
0.836559,-0.522887,0.163578,94140.625
0.836154,-0.523263,0.164446,96200.075
0.835935,-0.523608,0.164461,97245.375
0.835286,-0.524472,0.165006,96727.75
0.834523,-0.52558,0.16534,96522.85
0.83406,-0.526051,0.166175,96771.6
0.834123,-0.526295,0.165084,97272.1
0.833545,-0.527274,0.164882,96886.775
0.832966,-0.528191,0.164871,96653.325
0.832691,-0.528512,0.165231,96305.125
0.832029,-0.529576,0.165155,97158.45
0.831724,-0.530231,0.164594,97266.375
0.831419,-0.530853,0.164126,96713.3
0.831502,-0.530815,0.16383,96521.225
0.831033,-0.531191,0.164985,96961.55
0.830027,-0.533183,0.163619,97259.225
0.830155,-0.532974,0.16365,96980.675
0.830215,-0.532612,0.164521,96073.8
0.830201,-0.532727,0.164222,97356.625
0.82982,-0.53301,0.165226,97567.15
0.829602,-0.533529,0.164643,96705.325
0.829448,-0.533997,0.163903,96576.6
0.829146,-0.534676,0.163215,96854.275
0.829091,-0.534521,0.163998,97174.8
0.828359,-0.535616,0.164122,97075.325
0.828198,-0.536002,0.163676,96347.475
0.827925,-0.536571,0.163193,96970.175
0.827231,-0.537622,0.163252,97597.425
0.826472,-0.538774,0.163299,96745
0.826267,-0.539133,0.163151,96254.75
0.825543,-0.540232,0.163179,96708.8
0.825362,-0.54059,0.162912,97105.075
0.825083,-0.54174,0.160489,97304.3
0.824948,-0.541966,0.160418,96075.95
0.825488,-0.54133,0.159786,96599.975
0.825891,-0.540835,0.15938,97276.425
0.82701,-0.539249,0.158947,96861
0.826393,-0.540065,0.159389,96727.2
0.826662,-0.5398,0.158891,96754.55
0.826259,-0.540296,0.159298,97481.025
0.826582,-0.539978,0.158699,97421.5
0.826678,-0.540129,0.157681,96188.9
0.826238,-0.540552,0.158539,96885.75
0.826184,-0.540605,0.158639,97032.425
0.825922,-0.54124,0.157838,96796.775
0.825117,-0.542515,0.157671,96654.65
0.824797,-0.543205,0.156967,96153.825
0.823719,-0.544741,0.157303,97479.6
0.823211,-0.545406,0.157658,97383.925
0.82323,-0.545467,0.157346,96480.5
0.822554,-0.546472,0.157395,96636.75
0.822121,-0.547321,0.156703,97356.325
0.822037,-0.547502,0.156511,96689.825
0.821845,-0.548086,0.155476,96747.725
0.822266,-0.547607,0.154932,96234.075
0.8221,-0.548019,0.154358,97661.8
0.821736,-0.54863,0.154129,97244.45
0.821743,-0.548446,0.154745,96737.175
0.821913,-0.54856,0.153431,96521.125
0.821913,-0.54856,0.153431,97018.475
0.821841,-0.548843,0.152805,97068.975
0.821491,-0.5494,0.152682,97237.9
0.820845,-0.550377,0.15264,96582.45
0.820225,-0.551,0.153722,97314.575
0.820448,-0.550675,0.153693,96989.65
0.820593,-0.550351,0.154081,96348.75
0.820536,-0.550562,0.153632,96909.225
0.820371,-0.551056,0.152738,97115.95
0.820371,-0.551056,0.152738,97022
0.820371,-0.551056,0.152738,96894.65
0.820206,-0.551503,0.152009,96429.575
0.820206,-0.551503,0.152009,97002.325
0.820245,-0.551388,0.152218,96945.15
0.820182,-0.551622,0.15171,96760.325
0.82098,-0.550386,0.151879,96536.5
0.820902,-0.550536,0.151753,97001.675
0.820847,-0.550593,0.151845,96895.125
0.820746,-0.550804,0.151627,96654.5
0.820974,-0.55068,0.150839,96848.525
0.82053,-0.551174,0.151453,96903.075
0.821035,-0.550506,0.151146,96997.675
0.821234,-0.550224,0.151093,96407.15
0.821611,-0.549516,0.151619,96673.925
0.821801,-0.549154,0.151899,97010.925
0.821483,-0.549817,0.151217,97064.8
0.820362,-0.551456,0.151337,96192.425
0.819971,-0.55193,0.151729,96918.025
0.82011,-0.551875,0.151174,96711.825
0.820148,-0.551761,0.15138,96944.25
0.821029,-0.550561,0.150978,96344.625
0.820839,-0.550751,0.151316,97180.575
0.820325,-0.551593,0.151033,96834.25
0.820731,-0.551133,0.150509,96841.775
0.820364,-0.55148,0.151239,96447.15
0.820318,-0.551583,0.151111,96968.5
0.820828,-0.550908,0.150801,96982.15
0.821112,-0.550526,0.150651,96931.675
0.820993,-0.550636,0.150897,96392.825
0.821555,-0.549661,0.151394,97486.575
0.820674,-0.551124,0.150853,96799.325
0.82096,-0.55094,0.149964,96670.65
0.821436,-0.550373,0.149441,96414.075
0.82172,-0.549816,0.149925,97105.5
0.822261,-0.549013,0.149909,96682.15
0.821594,-0.549736,0.150908,96773.375
0.822125,-0.549156,0.150126,96271.55
0.821658,-0.549546,0.151251,97071.175
0.821531,-0.549834,0.150896,96703.825
0.821679,-0.549419,0.151598,97024.1
0.82144,-0.549914,0.151097,96416.4
0.82121,-0.550185,0.151364,97006.375
0.821561,-0.549719,0.151148,96951
0.8224,-0.548548,0.150844,96839.25
0.822831,-0.548132,0.150002,96762.975
0.822277,-0.54931,0.148725,97292.25
0.822731,-0.548724,0.148373,96820.025
0.82329,-0.547913,0.148269,96955.825
0.823341,-0.547615,0.149091,96935.7
0.823222,-0.547725,0.149341,97084.5
0.823257,-0.547795,0.148894,97049.975
0.823222,-0.547725,0.149341,97008.225
0.822973,-0.548175,0.149063,96451.325
0.823034,-0.548115,0.14895,96880.925
0.822731,-0.548487,0.149248,97282.55
0.822389,-0.549359,0.147921,97084.775
0.822127,-0.549613,0.148436,96619.625
0.822183,-0.549554,0.148342,96536.3
0.822669,-0.548971,0.147805,97356.125
0.822874,-0.548583,0.148103,96871.425
0.823414,-0.547988,0.147304,96860.625
0.823375,-0.548105,0.147087,96975.125
0.823316,-0.548542,0.145781,97271.3
0.823144,-0.548954,0.145202,96892.775
0.823031,-0.549166,0.145038,97122.625
0.82327,-0.548895,0.14471,96570.15
0.823522,-0.548442,0.14499,96955.075
0.823515,-0.548676,0.144147,96925.6
0.823357,-0.548905,0.144177,96919
0.823372,-0.548963,0.143868,96651.525
0.823047,-0.549509,0.143643,96771.5
0.822944,-0.54968,0.143582,97364.475
0.823689,-0.548409,0.144167,97379.325
0.82346,-0.548734,0.144238,96502.3
0.823996,-0.548138,0.143441,97082.15
0.823766,-0.548137,0.144762,96854.075
0.823383,-0.548686,0.144861,97160.5
0.8234,-0.548419,0.145768,96812.9
0.823927,-0.547836,0.144986,96907.8
